gameNum,player,points,s1v1,s1r1,s1v2,s1r2,s1v3,s1r3,s1tot,s2v1,s2r1,s2v2,s2r2,s2v3,s2r3,s2tot,stot
41,3,10,11.11,0.31,8.33,0.3233,0,0.31,6.137189,11.11,0.31,13.89,0.31,8.33,0.3675,10.811275,16.948464
41,4,8,11.11,0.3233,8.33,0.3233,0,0,6.284952,13.89,0.3675,8.33,0.295,5.56,0.3233,9.359473,15.644425
42,1,7,11.11,0.295,13.89,0.3675,5.56,0.3233,10.179573,11.11,0.3233,8.33,0.31,2.78,0.31,7.035963,17.215536
42,2,10,11.11,0.295,11.11,0.3233,8.33,0.3233,9.562402,13.89,0.3675,8.33,0.295,5.56,0.3233,9.359473,18.921875
42,3,6,11.11,0.295,11.11,0.31,8.33,0.3675,9.782825,5.56,0.3233,11.11,0.3233,5.56,0.3233,7.186959,16.969784
42,4,6,13.89,0.3675,8.33,0.3675,0,0,8.16585,13.89,0.3675,8.33,0.3233,0,0,7.797664,15.963514
43,1,10,8.33,0.3675,13.89,0.3233,8.33,0.295,10.009262,13.89,0.295,2.78,0.31,0,0,4.95935,14.968612
43,2,7,11.11,0.31,13.89,0.3675,8.33,0.31,11.130975,13.89,0.3675,8.33,0.3233,5.56,0.3233,9.595212,20.726187
43,3,8,11.11,0.3233,13.89,0.3675,5.56,0.3233,10.493986,11.11,0.3675,8.33,0.31,5.56,0.3233,8.462773,18.956759
43,4,2,13.89,0.3675,5.56,0.295,2.78,0.31,7.606575,13.89,0.295,11.11,0.3675,5.56,0.3233,9.978023,17.584598
44,1,8,11.11,0.3233,13.89,0.31,11.11,0.3675,11.980688,13.89,0.31,5.56,0.3233,5.56,0.3233,7.900996,19.881684
44,2,5,13.89,0.3233,8.33,0.295,5.56,0.3233,8.745535,11.11,0.295,8.33,0.3675,5.56,0.31,8.062325,16.80786
44,3,10,13.89,0.31,11.11,0.295,5.56,0.3233,9.380898,11.11,0.295,13.89,0.295,8.33,0.3675,10.436275,19.817173
44,4,9,13.89,0.295,8.33,0.3675,5.56,0.3233,8.956373,8.33,0.295,11.11,0.3233,5.56,0.31,7.772813,16.729186
45,1,7,11.11,0.31,13.89,0.295,8.33,0.3233,10.234739,11.11,0.3233,8.33,0.3233,2.78,0.295,7.105052,17.339791
45,2,10,11.11,0.31,13.89,0.3233,8.33,0.3675,10.996012,8.33,0.3233,11.11,0.3233,5.56,0.295,7.925152,18.921164
45,3,6,13.89,0.3233,8.33,0.3233,5.56,0.31,8.907326,13.89,0.3675,5.56,0.31,5.56,0.3675,8.871475,17.778801
45,4,6,11.11,0.31,13.89,0.3675,11.11,0.3675,12.6316,13.89,0.295,8.33,0.3233,5.56,0.31,8.514239,21.145839
46,1,5,11.11,0.3233,13.89,0.3675,8.33,0.3675,11.757713,13.89,0.3233,8.33,0.31,0,0,7.072937,18.83065
46,2,6,11.11,0.3233,11.11,0.3675,8.33,0.3233,10.367877,13.89,0.295,5.56,0.31,0,0,5.82115,16.189027
46,3,10,8.33,0.3233,11.11,0.3675,5.56,0.31,8.499614,11.11,0.31,8.33,0.3675,0,0.31,6.505375,15.004989
46,4,8,13.89,0.295,8.33,0.3233,5.56,0.31,8.514239,13.89,0.295,8.33,0.31,5.56,0.3233,8.477398,16.991637
47,1,5,11.11,0.3233,11.11,0.3675,8.33,0.3233,10.367877,13.89,0.3675,8.33,0.3233,0,0.3233,7.797664,18.165541
47,2,12,13.89,0.3233,8.33,0.3233,0,0,7.183726,13.89,0.3675,8.33,0.295,5.56,0.31,9.285525,16.469251
47,3,6,11.11,0.3233,13.89,0.295,5.56,0.31,9.413013,8.33,0.295,11.11,0.3675,2.78,0.3233,7.439049,16.852062
47,4,6,11.11,0.3675,11.11,0.3675,8.33,0.295,10.6232,13.89,0.295,8.33,0.3233,5.56,0.31,8.514239,19.137439
